log.annual.inc,dti,fico,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,revol.bal_to_income,years_with_cr_line
11.35040654,19.48,737,28854.0,52.1,0.0,0.0,0.0,0,0,1,0,0,0,0,0.3394588219924962,15.451940638356163
11.08214255,14.29,707,33623.0,76.7,0.0,0.0,0.0,0,1,0,0,0,0,0,0.5172769224964213,7.561643835616438
10.37349118,11.63,682,3511.0,25.6,1.0,0.0,0.0,0,0,1,0,0,0,0,0.10971875019550383,12.904109589041095
11.35040654,8.1,712,33667.0,73.2,1.0,0.0,0.0,0,0,1,0,0,0,0,0.3960823511478953,7.397146117808219
11.29973224,14.97,667,4740.0,39.5,0.0,1.0,0.0,0,1,0,0,0,0,0,0.058663366601157695,11.139726027397261
11.90496755,16.98,727,50807.0,51.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.3432905414833028,16.76723744383562
10.71441777,4.0,667,3839.0,76.8,0.0,0.0,1.0,1,0,1,0,0,0,0,0.08531111100468175,8.712442923287671
11.00209984,11.08,722,24220.0,68.6,0.0,0.0,0.0,1,0,0,0,0,0,0,0.4036666671527775,14.016438356164384
11.40756495,17.25,682,69909.0,51.1,1.0,0.0,0.0,0,0,0,0,1,0,0,0.7767666661325641,10.92876712328767
10.20359214,10.0,707,5630.0,23.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0.20851851955828912,7.479566210958904
10.4341158,22.09,677,13846.0,71.0,2.0,0.0,1.0,0,0,1,0,0,0,0,0.40723529558300087,18.391894978082192
11.83500896,9.16,662,5122.0,18.2,2.0,1.0,0.0,0,0,1,0,0,0,0,0.03711594218262109,11.775342465753425
10.93310697,15.49,767,6068.0,16.7,0.0,0.0,0.0,0,0,1,0,0,0,0,0.10835714282650873,17.86289954246575
11.51292546,6.5,747,3021.0,4.8,0.0,1.0,0.0,0,0,0,0,0,0,1,0.030210000150150604,12.01095890410959
9.487972109,9.73,727,6282.0,44.6,0.0,0.0,0.0,0,0,1,0,0,0,0,0.4759090907065739,4.273858446575343
10.73891524,13.04,702,5394.0,53.4,1.0,0.0,0.0,0,0,0,0,0,1,0,0.11696591208914993,22.356050227397258
10.52277288,2.26,672,2211.0,88.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0.05951227416947228,10.673858446575343
11.60823564,7.07,797,7586.0,52.7,1.0,0.0,0.0,0,1,0,0,0,0,0,0.06896363669290691,17.838242008219176
10.49127422,3.8,712,8311.0,59.8,0.0,0.0,0.0,0,0,1,0,0,0,0,0.23086111051970212,7.561643835616438
11.00209984,2.74,667,591.0,84.4,3.0,0.0,0.0,0,0,0,0,0,1,0,0.009850000011861745,3.087557076712329
11.22524339,16.08,772,29797.0,23.2,1.0,0.0,0.0,0,0,0,0,0,0,0,0.397293334333896,13.394406391780821
10.81977828,2.59,797,5656.0,27.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0.11312000049889129,32.74246575342466
11.51292546,7.94,662,21162.0,57.7,0.0,0.0,0.0,0,1,0,0,0,0,0,0.21162000105179976,5.314954336986301
11.73606902,7.05,782,16931.0,34.6,1.0,0.0,0.0,0,1,0,0,0,0,0,0.13544799949673453,15.452168950684932
11.26446411,8.8,672,4822.0,58.1,0.0,0.0,1.0,0,0,1,0,0,0,0,0.06182051255293685,10.303995432876713
12.4292162,10.0,712,14354.0,36.6,0.0,2.0,0.0,0,0,0,0,0,0,0,0.05741599981881707,4.257420090410959
11.08214255,0.28,802,1576.0,5.7,1.0,0.0,0.0,0,0,0,0,0,0,0,0.024246153818944176,12.739611871232876
9.998797732,14.29,662,4175.0,51.5,0.0,1.0,0.0,0,0,1,0,0,0,0,0.18977272733733597,3.613584473972603
12.20607265,0.28,772,3164.0,13.7,0.0,0.0,0.0,0,0,0,0,0,0,0,0.01581999992928736,12.37522830958904
12.20607265,3.72,812,85607.0,0.7,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4280349980867582,18.572488583561643
11.51292546,2.3,742,9698.0,19.4,0.0,0.0,0.0,0,0,1,0,0,0,0,0.09698000048201276,8.627283104109589
9.798127037,6.4,692,8847.0,26.9,1.0,1.0,0.0,0,1,0,0,0,0,0,0.4914999999401851,20.46563926849315
11.91839057,0.0,777,6053.0,19.5,0.0,0.0,0.0,0,0,0,0,1,0,0,0.040353333457556755,19.531392693150682
11.60823564,11.33,762,7274.0,13.1,0.0,0.0,0.0,0,0,0,0,1,0,0,0.06612727304300091,16.60262556986301
11.22524339,15.55,757,66033.0,23.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.8804400022173425,13.068493150684931
11.46163217,3.83,772,3660.0,6.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0.038526315811922125,6.945205479452055
11.35040654,0.31,787,216.0,0.6,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0025411764590829414,9.698630136986301
11.28978191,1.21,672,27185.0,16.1,3.0,0.0,1.0,0,1,0,0,0,0,0,0.33981250124236073,10.931506849315069
10.77895629,8.03,707,28329.0,48.6,1.0,0.0,0.0,0,0,1,0,0,0,0,0.5901874999350959,11.835616438356164
12.10071213,11.93,717,60568.0,39.2,1.0,0.0,0.0,0,0,0,0,1,0,0,0.3364888888459353,12.32591324109589
12.10071213,5.55,742,40934.0,26.3,0.0,0.0,0.0,0,0,0,0,1,0,0,0.22741111108208156,11.01095890410959
11.69524702,2.29,777,8379.0,16.9,0.0,0.0,0.0,0,0,1,0,0,0,0,0.06982500012318407,9.698630136986301
10.1266311,14.54,752,3660.0,7.8,1.0,0.0,0.0,0,0,0,0,0,0,1,0.14640000056368932,6.739726027397261
